there are 2449 files in the map2contigs/ directory

the alignments have 199426478 total bps

the alignments have 90.44% missing data across all seqs

The average len of a locus = 573.83 bp

The range of lengths = 129.344262295 to 2427.68027211 bp

148 samples are represented in these alignments

average number of samples in each alignment = 139

sample_name	captured_loci
yonahlossee_SG_Blood_66810	2423
yonahlossee_SG_FFS_422659	2043
yonahlossee_SG_FFS_422660	2042
yonahlossee_SG_FFS_422661	1918
yonahlossee_SG_FFS_422663	1487
yonahlossee_SG_FFS_422664	1931
yonahlossee_SG_FFS_422683	2440
yonahlossee_SG_FFS_422684	2439
yonahlossee_SG_FFS_488662	1803
yonahlossee_SG_Fresh_RCB1057	2074
yonahlossee_SG_Fresh_RCB1058	2432
yonahlossee_SG_Fresh_RCB1059	2433
