Target	BaitCovg	w/in100nt	w/in300nt	w/in500nt
set5-uce-2895-p1-17691-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-3058-p1-113605-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-3061-p1-126661-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-3078-p1-35516-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-3139-p1-123865-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-3181-p1-33880-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-3196-p1-87246-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-330-p2-63102-p4	91.67%	100.00%	100.00%	100.00%
set5-uce-330-p3-63102-p4	91.67%	100.00%	100.00%	100.00%
set5-uce-330-p4-63102-p4	91.67%	100.00%	100.00%	100.00%
set5-uce-330-p5-63102-p4	91.67%	100.00%	100.00%	100.00%
set5-uce-3406-p1-138350-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-3515-p1-69811-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-3642-p1-14553-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-3658-p1-113558-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-3758-p1-119202-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-3764-p1-35605-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-3856-p1-133907-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-3884-p1-24100-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-4184-p1-6062-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-4295-p1-87295-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-4335-p1-122432-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-4337-p1-51836-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-445-p1-15409-p4	91.67%	100.00%	100.00%	100.00%
set5-uce-445-p2-15409-p4	91.67%	100.00%	100.00%	100.00%
set5-uce-445-p3-15409-p4	91.67%	100.00%	100.00%	100.00%
set5-uce-445-p4-15409-p4	91.67%	100.00%	100.00%	100.00%
set5-uce-450-p2-21916-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-464-p1-15688-p2	91.67%	100.00%	100.00%	100.00%
set5-uce-464-p2-15688-p2	91.67%	100.00%	100.00%	100.00%
set5-uce-4643-p1-125730-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-4763-p1-14591-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-4799-p1-22324-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-4872-p1-418072-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-5076-p1-121570-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-5288-p1-44009-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-5294-p1-64410-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-5557-p1-69597-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-583-p2-113350-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-6133-p1-225794-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-6161-p1-35857-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-6208-p1-36937-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-6209-p1-317628-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-6398-p1-131740-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-6409-p1-132296-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-652-p2-14545-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-6595-p1-710623-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-7028-p1-113471-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-7064-p1-130414-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-7173-p1-69742-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-7235-p1-131753-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-726-p1-122334-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-7344-p1-32958-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-7369-p1-27190-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-7392-p1-125840-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-76-p1-118915-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-7854-p1-65890-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-7857-p1-311879-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-7928-p1-226586-p1	91.67%	100.00%	100.00%	100.00%
set5-uce-932-p1-3378-p1	91.67%	100.00%	100.00%	100.00%
set6-0340000000053-ST8SIA5-ex-6	97.85%	100.00%	100.00%	100.00%
set6-0340000000056-SEMA5A-ex-6	95.56%	100.00%	100.00%	100.00%
set6-0340000000093-ST6GALNAC6-ex-2	97.47%	100.00%	100.00%	100.00%
set6-0340000000146-irx5-ex-0	74.10%	100.00%	100.00%	100.00%
set6-0340000000162-IFIH1-ex-1	96.44%	100.00%	100.00%	100.00%
set6-0340000000199-ETNK1-ex-8	96.34%	100.00%	100.00%	100.00%
set6-0340000000216-LINGO1-ex-3	98.75%	100.00%	100.00%	100.00%
set6-0340000000247-FAM20C-ex-9	98.64%	100.00%	100.00%	100.00%
set6-0340000000273-CCER2-ex-4	84.75%	100.00%	100.00%	100.00%
set6-0340000000314-COLQ-ex-0	98.54%	100.00%	100.00%	100.00%
set6-0340000000466-TCF7L1-ex-11	98.75%	100.00%	100.00%	100.00%
set6-0340000000507-klhl41-ex-5	98.75%	100.00%	100.00%	100.00%
set6-0340000000537-PTPRZ1-ex-11	98.38%	100.00%	100.00%	100.00%
set6-0340000000577-GSN-ex-18	97.29%	100.00%	100.00%	100.00%
set6-0340000000696-kifc2-ex-17	95.63%	100.00%	100.00%	100.00%
set6-0340000000786-KLHL11-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000000831-ANAPC13-ex-0	95.67%	100.00%	100.00%	100.00%
set6-0340000000843-VIT-ex-0	98.04%	100.00%	100.00%	100.00%
set6-0340000000918-TRIM29-ex-12	97.91%	100.00%	100.00%	100.00%
set6-0340000001115-CTIF-ex-12	92.36%	100.00%	100.00%	100.00%
set6-0340000001230-TSHZ2-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000001349-ZMYM4-ex-1	98.18%	100.00%	100.00%	100.00%
set6-0340000001351-pak3-ex-0	96.58%	100.00%	100.00%	100.00%
set6-0340000001376-PCSK1N-ex-2	89.84%	100.00%	100.00%	100.00%
set6-0340000001409-COL4A3BP-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000001499-TNRC18-ex-17	79.66%	100.00%	100.00%	100.00%
set6-0340000001512-FLRT2-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000001757-ADGRE5-ex-5	95.33%	100.00%	100.00%	100.00%
set6-0340000001766-EPB41L3-ex-15	56.48%	100.00%	100.00%	100.00%
set6-0340000001892-calcium-binding-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000002056-PANK3-ex-4	97.11%	100.00%	100.00%	100.00%
set6-0340000002276-trpv2.S-ex-11	96.77%	100.00%	100.00%	100.00%
set6-0340000002451-TBC1D14-ex-2	96.14%	100.00%	100.00%	100.00%
set6-0340000002464-CREG2-ex-3	97.57%	100.00%	100.00%	100.00%
set6-0340000002477-MIA3-ex-2	98.00%	100.00%	100.00%	100.00%
set6-0340000002590-AKAP13-ex-2	82.93%	100.00%	100.00%	100.00%
set6-0340000002907-R3HDM1-ex-1	98.70%	100.00%	100.00%	100.00%
set6-0340000002911-PRPF39-ex-3	98.75%	100.00%	100.00%	100.00%
set6-0340000002928-ZDHHC14-ex-9	97.50%	100.00%	100.00%	100.00%
set6-0340000002936-rsf1-ex-0	96.75%	100.00%	100.00%	100.00%
set6-0340000003132-flna-ex-21	98.33%	100.00%	100.00%	100.00%
set6-0340000003167-MLLT3-ex-4	92.08%	100.00%	100.00%	100.00%
set6-0340000003195-TUBGCP6-ex-2	95.31%	100.00%	100.00%	100.00%
set6-0340000003313-Hmgb3-ex-0	90.75%	100.00%	100.00%	100.00%
set6-0340000003329-RERE-ex-1	96.20%	100.00%	100.00%	100.00%
set6-0340000003361-ART1-ex-2	98.63%	100.00%	100.00%	100.00%
set6-0340000003451-PTPRM-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000003482-GP1BB-ex-0	98.27%	100.00%	100.00%	100.00%
set6-0340000003591-GNAI1-ex-0	98.59%	100.00%	100.00%	100.00%
set6-0340000003822-ZBTB8B-ex-2	98.75%	100.00%	100.00%	100.00%
set6-0340000004077-RASGRP1-ex-8	96.25%	100.00%	100.00%	100.00%
set6-0340000004156-ZNF292-ex-6	98.05%	100.00%	100.00%	100.00%
set6-0340000004221-SEC16A-ex-6	98.75%	100.00%	100.00%	100.00%
set6-0340000004452-EP400-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000004539-ciliary-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000004599-RETREG2-ex-8	98.64%	100.00%	100.00%	100.00%
set6-0340000004663-CFL2-ex-2	94.14%	100.00%	100.00%	100.00%
set6-0340000004809-cfap69-ex-11	95.35%	100.00%	100.00%	100.00%
set6-0340000004835-cab39l-ex-11	98.00%	100.00%	100.00%	100.00%
set6-0340000004844-ALKBH5-ex-3	90.68%	100.00%	100.00%	100.00%
set6-0340000004954-wsb1.L-ex-6	95.15%	100.00%	100.00%	100.00%
set6-0340000005049-TAF3-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000005141-LEF1-ex-11	96.36%	100.00%	100.00%	100.00%
set6-0340000005149-AEBP1-ex-19	84.34%	100.00%	100.00%	100.00%
set6-0340000005230-FJX1-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000005235-NFATC1-ex-2	98.75%	100.00%	100.00%	100.00%
set6-0340000005249-SEPT8-ex-9	95.92%	100.00%	100.00%	100.00%
set6-0340000005646-ahnak-ex-1	96.74%	100.00%	100.00%	100.00%
set6-0340000005722-adamts1-ex-1	97.12%	100.00%	100.00%	100.00%
set6-0340000005763-LZTS3-ex-5	97.74%	100.00%	100.00%	100.00%
set6-0340000005776-AP3D1-ex-1	96.82%	100.00%	100.00%	100.00%
set6-0340000005841-KCNMA1-ex-1	97.39%	100.00%	100.00%	100.00%
set6-0340000005893-atp2b1-ex-23	97.68%	100.00%	100.00%	100.00%
set6-0340000005940-CROCC-ex-9	95.10%	100.00%	100.00%	100.00%
set6-0340000005970-Zbtb34-ex-2	98.75%	100.00%	100.00%	100.00%
set6-0340000005985-Ehf-ex-0	94.66%	100.00%	100.00%	100.00%
set6-0340000006078-Evx1-ex-2	93.53%	100.00%	100.00%	100.00%
set6-0340000006498-b4galt2-ex-5	96.73%	100.00%	100.00%	100.00%
set6-0340000006526-slc44a2.S-ex-15	96.18%	100.00%	100.00%	100.00%
set6-0340000006563-DCLK2-ex-18	97.01%	100.00%	100.00%	100.00%
set6-0340000006572-ARHGAP21-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000006651-NEK9-ex-22	95.78%	100.00%	100.00%	100.00%
set6-0340000006674-c19orf68.L-ex-6	98.75%	100.00%	100.00%	100.00%
set6-0340000006679-GAP43-ex-0	98.40%	100.00%	100.00%	100.00%
set6-0340000006736-gnal.S-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000006774-pitpnm2-ex-0	97.16%	100.00%	100.00%	100.00%
set6-0340000006811-FLRT3-ex-2	98.75%	100.00%	100.00%	100.00%
set6-0340000006914-fndc1-ex-6	95.63%	100.00%	100.00%	100.00%
set6-0340000007121-vash2.S-ex-2	97.37%	100.00%	100.00%	100.00%
set6-0340000007274-PLEKHH3-ex-0	98.21%	100.00%	100.00%	100.00%
set6-0340000007312-KIAA2026-ex-5	98.75%	100.00%	100.00%	100.00%
set6-0340000007329-matn1.L-ex-3	97.52%	100.00%	100.00%	100.00%
set6-0340000007513-pknox2.L-ex-6	68.38%	100.00%	100.00%	100.00%
set6-0340000007591-QSER1-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000007591-QSER1-ex-9	98.75%	100.00%	100.00%	100.00%
set6-0340000007636-lrfn4.L-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000007726-RALGAPA2-ex-12	95.65%	100.00%	100.00%	100.00%
set6-0340000007916-SLCO4A1-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000007946-dnajc28.L-ex-1	98.46%	100.00%	100.00%	100.00%
set6-0340000007954-ercc4-ex-1	98.64%	100.00%	100.00%	100.00%
set6-0340000008122-PKN2-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000008328-KIF2A-ex-1	98.72%	100.00%	100.00%	100.00%
set6-0340000008387-sparc.S-ex-0	97.28%	100.00%	100.00%	100.00%
set6-0340000008688-CHD7-ex-1	92.75%	100.00%	100.00%	100.00%
set6-0340000008743-YIPF6-ex-6	95.58%	100.00%	100.00%	100.00%
set6-0340000008818-SRGAP3-ex-2	95.45%	100.00%	100.00%	100.00%
set6-0340000008844-ZNF362-ex-6	95.54%	100.00%	100.00%	100.00%
set6-0340000008876-DAG1-ex-3	98.75%	100.00%	100.00%	100.00%
set6-0340000008885-FAM78B-ex-1	98.08%	100.00%	100.00%	100.00%
set6-0340000009196-GPR135-ex-1	90.75%	100.00%	100.00%	100.00%
set6-0340000009287-cavin4.S-ex-0	98.10%	100.00%	100.00%	100.00%
set6-0340000009293-HPCA-ex-2	97.47%	100.00%	100.00%	100.00%
set6-0340000009300-PTPRA-ex-23	96.87%	100.00%	100.00%	100.00%
set6-0340000009416-IL17RD-ex-11	98.75%	100.00%	100.00%	100.00%
set6-0340000009553-fgb.S-ex-1	95.31%	100.00%	100.00%	100.00%
set6-0340000009586-PRKAR1B-ex-1	96.59%	100.00%	100.00%	100.00%
set6-0340000009618-stoml3-ex-2	95.05%	100.00%	100.00%	100.00%
set6-0340000009714-ZDHHC17-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000009720-beta14mannosylglycop-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000009759-RAB27A-ex-10	97.01%	100.00%	100.00%	100.00%
set6-0340000009865-ogt.L-ex-3	98.17%	100.00%	100.00%	100.00%
set6-0340000009919-lsr-ex-0	98.40%	100.00%	100.00%	100.00%
set6-0340000009929-LAYN-ex-0	97.09%	100.00%	100.00%	100.00%
set6-0340000009957-SORCS2-ex-0	96.30%	100.00%	100.00%	100.00%
set6-0340000009964-RUNX1-ex-6	96.35%	100.00%	100.00%	100.00%
set6-0340000010066-ST7-ex-15	96.94%	100.00%	100.00%	100.00%
set6-0340000010084-MYOZ2-ex-5	95.61%	100.00%	100.00%	100.00%
set6-0340000010169-CLIP3-ex-13	95.58%	100.00%	100.00%	100.00%
set6-0340000010200-PAQR4-ex-0	97.66%	100.00%	100.00%	100.00%
set6-0340000010206-Egr3-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000010232-SEC24A-ex-2	98.16%	100.00%	100.00%	100.00%
set6-0340000010271-slit1-ex-0	98.55%	100.00%	100.00%	100.00%
set6-0340000010306-PCDHAC2-ex-3	98.75%	100.00%	100.00%	100.00%
set6-0340000010392-CLIC5-ex-11	97.08%	100.00%	100.00%	100.00%
set6-0340000010401-ZBTB22-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000010571-PIK3R3-ex-1	90.35%	100.00%	100.00%	100.00%
set6-0340000010571-PIK3R3-ex-10	98.47%	100.00%	100.00%	100.00%
set6-0340000010577-adrb2-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000010741-EMILIN2-ex-3	98.75%	100.00%	100.00%	100.00%
set6-0340000010762-RNF112-ex-1	96.18%	100.00%	100.00%	100.00%
set6-0340000011009-PARP8-ex-0	97.04%	100.00%	100.00%	100.00%
set6-0340000011103-ITPR3-ex-34	95.95%	100.00%	100.00%	100.00%
set6-0340000011147-LHFPL6-ex-2	97.42%	100.00%	100.00%	100.00%
set6-0340000011220-PRKCZ-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000011225-TTC39C-ex-1	95.05%	100.00%	100.00%	100.00%
set6-0340000011258-ANKFY1-ex-10	98.75%	100.00%	100.00%	100.00%
set6-0340000011260-BARX1-ex-3	95.10%	100.00%	100.00%	100.00%
set6-0340000011369-CUL5-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000011770-cpxm1-ex-0	96.05%	100.00%	100.00%	100.00%
set6-0340000011951-ELF3-ex-8	89.20%	100.00%	100.00%	100.00%
set6-0340000012148-DOCK9-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000012172-KANK1-ex-4	98.29%	100.00%	100.00%	100.00%
set6-0340000012177-SLC30A10-ex-0	75.39%	100.00%	100.00%	100.00%
set6-0340000012285-APOA4-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000012329-kiaa1161-ex-2	98.75%	100.00%	100.00%	100.00%
set6-0340000012621-IGSF10-ex-6	98.75%	100.00%	100.00%	100.00%
set6-0340000012658-ADAMTS7-ex-23	96.48%	100.00%	100.00%	100.00%
set6-0340000012673-TMEM131-ex-1	96.75%	100.00%	100.00%	100.00%
set6-0340000012716-MPLKIP-ex-1	96.73%	100.00%	100.00%	100.00%
set6-0340000012797-slc6a8-ex-14	95.87%	100.00%	100.00%	100.00%
set6-0340000013064-MARCH6-ex-23	97.37%	100.00%	100.00%	100.00%
set6-0340000013093-SOX5-ex-14	98.75%	100.00%	100.00%	100.00%
set6-0340000013131-PANX1-ex-1	98.47%	100.00%	100.00%	100.00%
set6-0340000013147-BOK-ex-0	95.58%	100.00%	100.00%	100.00%
set6-0340000013172-BTBD1-ex-7	90.75%	100.00%	100.00%	100.00%
set6-0340000013291-RUSC2-ex-3	95.07%	100.00%	100.00%	100.00%
set6-0340000013349-RIN2-ex-3	96.69%	100.00%	100.00%	100.00%
set6-0340000013466-UBE3B-ex-1	96.67%	100.00%	100.00%	100.00%
set6-0340000013551-sec14l1.L-ex-0	97.56%	100.00%	100.00%	100.00%
set6-0340000013703-Musashi-1a-ex-14	98.75%	100.00%	100.00%	100.00%
set6-0340000013834-TCF3-ex-1	98.51%	100.00%	100.00%	100.00%
set6-0340000013915-ESAM-ex-6	97.85%	100.00%	100.00%	100.00%
set6-0340000013988-Dpf1-ex-0	95.69%	100.00%	100.00%	100.00%
set6-0340000014026-FLNC-ex-39	95.87%	100.00%	100.00%	100.00%
set6-0340000014102-FOSB-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000014396-ZBTB18-ex-0	90.75%	100.00%	100.00%	100.00%
set6-0340000014431-CHD2-ex-0	96.52%	100.00%	100.00%	100.00%
set6-0340000014506-ARHGAP23-ex-8	98.75%	100.00%	100.00%	100.00%
set6-0340000014538-SLC38A4-ex-6	96.23%	100.00%	100.00%	100.00%
set6-0340000014625-FOXF1-ex-1	89.70%	100.00%	100.00%	100.00%
set6-0340000014770-MAP2K2-ex-1	97.03%	100.00%	100.00%	100.00%
set6-0340000014799-speg-ex-1	95.12%	100.00%	100.00%	100.00%
set6-0340000014829-HNRNPU-ex-14	45.42%	80.63%	100.00%	100.00%
set6-0340000014856-MDFIC-ex-6	95.85%	100.00%	100.00%	100.00%
set6-0340000014857-MGA-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000015078-rab32.S-ex-1	96.31%	100.00%	100.00%	100.00%
set6-0340000015193-SPIN1-ex-1	97.40%	100.00%	100.00%	100.00%
set6-0340000015235-ATRX-ex-35	98.72%	100.00%	100.00%	100.00%
set6-0340000015235-ATRX-ex-9	96.34%	100.00%	100.00%	100.00%
set6-0340000015449-gpr1.S-ex-2	98.75%	100.00%	100.00%	100.00%
set6-0340000015520-wnt6-ex-2	95.43%	100.00%	100.00%	100.00%
set6-0340000015623-JMJD7-ex-3	96.03%	100.00%	100.00%	100.00%
set6-0340000015652-wnk4-ex-19	98.45%	100.00%	100.00%	100.00%
set6-0340000015787-pnpla2.L-ex-2	95.69%	100.00%	100.00%	100.00%
set6-0340000015787-pnpla2.L-ex-9	95.10%	100.00%	100.00%	100.00%
set6-0340000015875-itgb7-ex-5	95.85%	100.00%	100.00%	100.00%
set6-0340000015930-TSHZ1-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000015933-cpne8-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000015936-VANGL2-ex-4	98.35%	100.00%	100.00%	100.00%
set6-0340000016085-SCN4B-ex-2	95.58%	100.00%	100.00%	100.00%
set6-0340000016284-PHLDB2-ex-12	95.10%	100.00%	100.00%	100.00%
set6-0340000016371-SEMA6A-ex-19	98.75%	100.00%	100.00%	100.00%
set6-0340000016578-rnf208.S-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000016620-ATN1-ex-2	91.81%	100.00%	100.00%	100.00%
set6-0340000016772-hhatl.S-ex-20	96.12%	100.00%	100.00%	100.00%
